date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:30	24519/24519	---M--	200	added ('OK')	image/jpeg	etag:%22639ff377-5fc7%22	https://themewagon.github.io/orthoc/images/d1.jpg	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/d1.jpg	(from https://themewagon.github.io/orthoc/)
15:11:30	26534/26534	---M--	200	added ('OK')	image/jpeg	etag:%22639ff377-67a6%22	https://themewagon.github.io/orthoc/images/d2.jpg	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/d2.jpg	(from https://themewagon.github.io/orthoc/)
15:11:30	24843/24843	---M--	200	added ('OK')	image/jpeg	etag:%22639ff377-610b%22	https://themewagon.github.io/orthoc/images/d3.jpg	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/d3.jpg	(from https://themewagon.github.io/orthoc/)
15:11:31	27697/27697	---M--	200	added ('OK')	image/jpeg	etag:%22639ff377-6c31%22	https://themewagon.github.io/orthoc/images/client.jpg	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/images/client.jpg	(from https://themewagon.github.io/orthoc/)
15:11:31	88144/88144	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ff377-15850%22	https://themewagon.github.io/orthoc/js/jquery-3.4.1.min.js	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/js/jquery-3.4.1.min.js	(from https://themewagon.github.io/orthoc/)
15:11:31	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	D:/My%20Web%20Sites/Health2/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://themewagon.github.io/orthoc/)
15:11:32	136746/136746	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ff377-2162a%22	https://themewagon.github.io/orthoc/js/bootstrap.js	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/js/bootstrap.js	(from https://themewagon.github.io/orthoc/)
15:11:33	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	D:/My%20Web%20Sites/Health2/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://themewagon.github.io/orthoc/)
15:11:33	962/962	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ff377-3c2%22	https://themewagon.github.io/orthoc/js/custom.js	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/js/custom.js	(from https://themewagon.github.io/orthoc/)
15:11:33	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	D:/My%20Web%20Sites/Health2/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
15:11:34	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/orthoc/fonts/fontawesome-webfont.eot?v=4.7.0	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/fonts/fontawesome-webfont3e6e.eot	(from https://themewagon.github.io/orthoc/css/font-awesome.min.css)
15:11:34	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/orthoc/fonts/fontawesome-webfont.eot?	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/fonts/fontawesome-webfontd41d.eot	(from https://themewagon.github.io/orthoc/css/font-awesome.min.css)
15:11:34	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22639ff377-12d68%22	https://themewagon.github.io/orthoc/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/fonts/fontawesome-webfont3e6e.woff2	(from https://themewagon.github.io/orthoc/css/font-awesome.min.css)
15:11:35	98024/98024	---M--	200	added ('OK')	font/woff	etag:%22639ff377-17ee8%22	https://themewagon.github.io/orthoc/fonts/fontawesome-webfont.woff?v=4.7.0	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/fonts/fontawesome-webfont3e6e.woff	(from https://themewagon.github.io/orthoc/css/font-awesome.min.css)
15:11:36	165548/165548	---M-Z	200	added ('OK')	font/ttf	etag:W/%22639ff377-286ac%22	https://themewagon.github.io/orthoc/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/fonts/fontawesome-webfont3e6e.ttf	(from https://themewagon.github.io/orthoc/css/font-awesome.min.css)
15:11:36	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/orthoc/fonts/fontawesome-webfont.svg?v=4.7.0	D:/My%20Web%20Sites/Health2/themewagon.github.io/orthoc/fonts/fontawesome-webfont3e6e.svg	(from https://themewagon.github.io/orthoc/css/font-awesome.min.css)
